# cluster_name	protein_number	swiss_prot_id	go_annotation	protein_list
cluster7991	4	N/A	N/A	Artocaprus_hirsutus|Arthir6082;Artocaprus_hirsutus|Arthir20810;Artocaprus_hirsutus|Arthir33104;Artocaprus_hirsutus|Arthir36316
cluster7999	4	N/A	N/A	Artocaprus_hirsutus|Arthir250;Artocaprus_hirsutus|Arthir1666;Artocaprus_hirsutus|Arthir2255;Artocaprus_hirsutus|Arthir38284
cluster8007	4	N/A	N/A	Artocaprus_hirsutus|Arthir24578;Artocaprus_hirsutus|Arthir14159;Artocaprus_hirsutus|Arthir32506;Artocaprus_hirsutus|Arthir40061
cluster15023	4	N/A	N/A	Artocaprus_hirsutus|Arthir15375;Artocaprus_hirsutus|Arthir44190;Artocaprus_hirsutus|Arthir6729;Artocaprus_hirsutus|Arthir44189
cluster15028	4	Q0WPR4	GO:0051603; P:proteolysis involved in cellular protein catabolic process; IBA:GO_Central	Artocaprus_hirsutus|Arthir11936;Artocaprus_hirsutus|Arthir17634;Artocaprus_hirsutus|Arthir43155;Artocaprus_hirsutus|Arthir36847
cluster15029	4	N/A	N/A	Artocaprus_hirsutus|Arthir4849;Artocaprus_hirsutus|Arthir22903;Artocaprus_hirsutus|Arthir26509;Artocaprus_hirsutus|Arthir10761
cluster15030	4	N/A	N/A	Artocaprus_hirsutus|Arthir22376;Artocaprus_hirsutus|Arthir15426;Artocaprus_hirsutus|Arthir34824;Artocaprus_hirsutus|Arthir37575
cluster15036	4	N/A	N/A	Artocaprus_hirsutus|Arthir20723;Artocaprus_hirsutus|Arthir17703;Artocaprus_hirsutus|Arthir20725;Artocaprus_hirsutus|Arthir24821
cluster15169	3	P40480	GO:0045835; P:negative regulation of meiotic nuclear division; IPI:SGD	Artocaprus_hirsutus|Arthir10876;Artocaprus_hirsutus|Arthir18893;Artocaprus_hirsutus|Arthir19166
cluster15174	3	Q9C6A1	GO:0000394; P:RNA splicing, via endonucleolytic cleavage and ligation; IMP:TAIR	Artocaprus_hirsutus|Arthir20806;Artocaprus_hirsutus|Arthir33102;Artocaprus_hirsutus|Arthir36315
cluster15180	3	N/A	N/A	Artocaprus_hirsutus|Arthir20134;Artocaprus_hirsutus|Arthir10576;Artocaprus_hirsutus|Arthir13551
cluster15181	3	Q40392	GO:0007165; P:signal transduction; IEA:InterPro	Artocaprus_hirsutus|Arthir20329;Artocaprus_hirsutus|Arthir17802;Artocaprus_hirsutus|Arthir7700
cluster15182	3	N/A	N/A	Artocaprus_hirsutus|Arthir43486;Artocaprus_hirsutus|Arthir12697;Artocaprus_hirsutus|Arthir43485
cluster15188	3	N/A	N/A	Artocaprus_hirsutus|Arthir21755;Artocaprus_hirsutus|Arthir24981;Artocaprus_hirsutus|Arthir32353
cluster15193	3	N/A	N/A	Artocaprus_hirsutus|Arthir31179;Artocaprus_hirsutus|Arthir22945;Artocaprus_hirsutus|Arthir22946
cluster15195	3	Q9SF78	GO:0016042; P:lipid catabolic process; IEA:UniProtKB-KW	Artocaprus_hirsutus|Arthir16236;Artocaprus_hirsutus|Arthir29568;Artocaprus_hirsutus|Arthir31274
cluster15198	3	Q9C7D6	GO:0019748; P:secondary metabolic process; IBA:GO_Central	Artocaprus_hirsutus|Arthir30027;Artocaprus_hirsutus|Arthir12763;Artocaprus_hirsutus|Arthir42915
cluster15200	3	N/A	N/A	Artocaprus_hirsutus|Arthir26819;Artocaprus_hirsutus|Arthir26363;Artocaprus_hirsutus|Arthir45220
cluster15202	3	N/A	N/A	Artocaprus_hirsutus|Arthir21688;Artocaprus_hirsutus|Arthir26022;Artocaprus_hirsutus|Arthir28982
cluster15203	3	P10978	GO:0015074; P:DNA integration; IEA:InterPro	Artocaprus_hirsutus|Arthir40373;Artocaprus_hirsutus|Arthir37677;Artocaprus_hirsutus|Arthir11168
cluster20122	3	N/A	N/A	Artocaprus_hirsutus|Arthir32710;Artocaprus_hirsutus|Arthir36587;Artocaprus_hirsutus|Arthir8041
cluster20123	3	N/A	N/A	Artocaprus_hirsutus|Arthir4068;Artocaprus_hirsutus|Arthir4069;Artocaprus_hirsutus|Arthir7945
cluster20125	3	Q0WPR4	GO:0051603; P:proteolysis involved in cellular protein catabolic process; IBA:GO_Central	Artocaprus_hirsutus|Arthir1256;Artocaprus_hirsutus|Arthir17212;Artocaprus_hirsutus|Arthir43156
cluster20126	3	O64477	GO:0048544; P:recognition of pollen; IEA:InterPro	Artocaprus_hirsutus|Arthir40575;Artocaprus_hirsutus|Arthir4293;Artocaprus_hirsutus|Arthir4296
cluster20127	3	N/A	N/A	Artocaprus_hirsutus|Arthir21565;Artocaprus_hirsutus|Arthir18260;Artocaprus_hirsutus|Arthir27269
cluster20128	3	N/A	N/A	Artocaprus_hirsutus|Arthir3638;Artocaprus_hirsutus|Arthir5547;Artocaprus_hirsutus|Arthir30711
cluster20129	3	N/A	N/A	Artocaprus_hirsutus|Arthir40204;Artocaprus_hirsutus|Arthir22312;Artocaprus_hirsutus|Arthir24706
cluster20130	3	N/A	N/A	Artocaprus_hirsutus|Arthir34419;Artocaprus_hirsutus|Arthir41221;Artocaprus_hirsutus|Arthir41800
cluster20131	3	Q01555	GO:0006119; P:oxidative phosphorylation; IEA:UniProtKB-UniPathway	Artocaprus_hirsutus|Arthir6911;Artocaprus_hirsutus|Arthir44106;Artocaprus_hirsutus|Arthir30367
cluster20132	3	N/A	N/A	Artocaprus_hirsutus|Arthir28220;Artocaprus_hirsutus|Arthir28219;Artocaprus_hirsutus|Arthir32337
cluster20133	3	N/A	N/A	Artocaprus_hirsutus|Arthir24932;Artocaprus_hirsutus|Arthir13261;Artocaprus_hirsutus|Arthir24931
cluster20134	3	Q9M9X0	GO:0005886; C:plasma membrane; IEA:UniProtKB-SubCell	Artocaprus_hirsutus|Arthir34127;Artocaprus_hirsutus|Arthir41458;Artocaprus_hirsutus|Arthir34129
cluster20135	3	N/A	N/A	Artocaprus_hirsutus|Arthir43326;Artocaprus_hirsutus|Arthir2678;Artocaprus_hirsutus|Arthir43327
cluster20139	3	N/A	N/A	Artocaprus_hirsutus|Arthir6330;Artocaprus_hirsutus|Arthir20436;Artocaprus_hirsutus|Arthir45365
cluster20140	3	N/A	N/A	Artocaprus_hirsutus|Arthir14795;Artocaprus_hirsutus|Arthir15359;Artocaprus_hirsutus|Arthir27466
cluster20142	3	N/A	N/A	Artocaprus_hirsutus|Arthir37405;Artocaprus_hirsutus|Arthir10977;Artocaprus_hirsutus|Arthir37403
cluster20144	3	N/A	N/A	Artocaprus_hirsutus|Arthir1187;Artocaprus_hirsutus|Arthir13144;Artocaprus_hirsutus|Arthir8163
cluster20145	3	N/A	N/A	Artocaprus_hirsutus|Arthir9511;Artocaprus_hirsutus|Arthir9512;Artocaprus_hirsutus|Arthir21118
cluster20146	3	N/A	N/A	Artocaprus_hirsutus|Arthir41388;Artocaprus_hirsutus|Arthir16413;Artocaprus_hirsutus|Arthir36858
cluster20148	3	Q9LVA1	GO:0048759; P:xylem vessel member cell differentiation; IMP:UniProtKB	Artocaprus_hirsutus|Arthir24064;Artocaprus_hirsutus|Arthir10827;Artocaprus_hirsutus|Arthir10828
cluster20149	3	N/A	N/A	Artocaprus_hirsutus|Arthir36630;Artocaprus_hirsutus|Arthir43878;Artocaprus_hirsutus|Arthir22932
cluster20150	3	N/A	N/A	Artocaprus_hirsutus|Arthir1221;Artocaprus_hirsutus|Arthir32091;Artocaprus_hirsutus|Arthir5777
cluster20152	3	O08560	GO:0007205; P:protein kinase C-activating G protein-coupled receptor signaling pathway; IEA:InterPro	Artocaprus_hirsutus|Arthir35288;Artocaprus_hirsutus|Arthir45738;Artocaprus_hirsutus|Arthir45685
cluster20155	3	Q04050	GO:0042773; P:ATP synthesis coupled electron transport; IEA:InterPro	Artocaprus_hirsutus|Arthir6974;Artocaprus_hirsutus|Arthir6977;Artocaprus_hirsutus|Arthir6973
cluster20156	3	N/A	N/A	Artocaprus_hirsutus|Arthir26915;Artocaprus_hirsutus|Arthir11911;Artocaprus_hirsutus|Arthir698
cluster20160	3	Q9CA40	GO:0006203; P:dGTP catabolic process; IBA:GO_Central	Artocaprus_hirsutus|Arthir27228;Artocaprus_hirsutus|Arthir45477;Artocaprus_hirsutus|Arthir30018
cluster20164	3	Q9C899	GO:0046872; F:metal ion binding; IEA:UniProtKB-KW	Artocaprus_hirsutus|Arthir623;Artocaprus_hirsutus|Arthir46011;Artocaprus_hirsutus|Arthir622
cluster20166	3	N/A	N/A	Artocaprus_hirsutus|Arthir2182;Artocaprus_hirsutus|Arthir43891;Artocaprus_hirsutus|Arthir2174
cluster20167	3	N/A	N/A	Artocaprus_hirsutus|Arthir428;Artocaprus_hirsutus|Arthir15176;Artocaprus_hirsutus|Arthir28873
cluster20171	3	Q8IW17	GO:0000398; P:mRNA splicing, via spliceosome; IDA:UniProtKB	Artocaprus_hirsutus|Arthir19921;Artocaprus_hirsutus|Arthir10719;Artocaprus_hirsutus|Arthir5439
cluster20172	3	N/A	N/A	Artocaprus_hirsutus|Arthir10583;Artocaprus_hirsutus|Arthir41991;Artocaprus_hirsutus|Arthir34037
cluster20180	3	P19873	GO:0009611; P:response to wounding; IEA:InterPro	Artocaprus_hirsutus|Arthir43723;Artocaprus_hirsutus|Arthir12156;Artocaprus_hirsutus|Arthir45276
cluster20186	3	N/A	N/A	Artocaprus_hirsutus|Arthir11449;Artocaprus_hirsutus|Arthir18473;Artocaprus_hirsutus|Arthir36681
cluster20465	2	N/A	N/A	Artocaprus_hirsutus|Arthir39339;Artocaprus_hirsutus|Arthir39341
cluster20466	2	B9RPM3	GO:0010333; F:terpene synthase activity; IEA:InterPro	Artocaprus_hirsutus|Arthir7056;Artocaprus_hirsutus|Arthir7126
cluster20467	2	N/A	N/A	Artocaprus_hirsutus|Arthir40211;Artocaprus_hirsutus|Arthir7208
cluster20468	2	N/A	N/A	Artocaprus_hirsutus|Arthir2731;Artocaprus_hirsutus|Arthir18241
cluster20469	2	N/A	N/A	Artocaprus_hirsutus|Arthir44132;Artocaprus_hirsutus|Arthir19610
cluster20470	2	N/A	N/A	Artocaprus_hirsutus|Arthir26138;Artocaprus_hirsutus|Arthir13664
cluster20471	2	Q3EBQ3	GO:0006355; P:regulation of transcription, DNA-templated; IEA:InterPro	Artocaprus_hirsutus|Arthir7391;Artocaprus_hirsutus|Arthir32876
cluster20472	2	N/A	N/A	Artocaprus_hirsutus|Arthir494;Artocaprus_hirsutus|Arthir29479
cluster20473	2	N/A	N/A	Artocaprus_hirsutus|Arthir9010;Artocaprus_hirsutus|Arthir11381
cluster20474	2	N/A	N/A	Artocaprus_hirsutus|Arthir20556;Artocaprus_hirsutus|Arthir38650
cluster20475	2	N/A	N/A	Artocaprus_hirsutus|Arthir39713;Artocaprus_hirsutus|Arthir912
cluster20476	2	O23066	GO:0006631; P:fatty acid metabolic process; IDA:TAIR	Artocaprus_hirsutus|Arthir25147;Artocaprus_hirsutus|Arthir35061
cluster20477	2	Q96FX7	GO:0030488; P:tRNA methylation; IBA:GO_Central	Artocaprus_hirsutus|Arthir20104;Artocaprus_hirsutus|Arthir30200
cluster20478	2	N/A	N/A	Artocaprus_hirsutus|Arthir36673;Artocaprus_hirsutus|Arthir34859
cluster20479	2	N/A	N/A	Artocaprus_hirsutus|Arthir5485;Artocaprus_hirsutus|Arthir329
cluster20480	2	C7J4U3	GO:0016021; C:integral component of membrane; IEA:UniProtKB-KW	Artocaprus_hirsutus|Arthir28893;Artocaprus_hirsutus|Arthir37663
cluster20481	2	N/A	N/A	Artocaprus_hirsutus|Arthir22607;Artocaprus_hirsutus|Arthir38453
cluster20482	2	N/A	N/A	Artocaprus_hirsutus|Arthir20724;Artocaprus_hirsutus|Arthir37751
cluster20483	2	N/A	N/A	Artocaprus_hirsutus|Arthir46071;Artocaprus_hirsutus|Arthir42317
cluster20484	2	N/A	N/A	Artocaprus_hirsutus|Arthir38964;Artocaprus_hirsutus|Arthir28460
cluster20485	2	N/A	N/A	Artocaprus_hirsutus|Arthir2271;Artocaprus_hirsutus|Arthir33242
cluster20486	2	N/A	N/A	Artocaprus_hirsutus|Arthir30495;Artocaprus_hirsutus|Arthir16489
cluster20487	2	O64477	GO:0048544; P:recognition of pollen; IEA:InterPro	Artocaprus_hirsutus|Arthir36325;Artocaprus_hirsutus|Arthir36268
cluster20488	2	Q5C9I9	GO:0031525; P:menthol biosynthetic process; IDA:UniProtKB	Artocaprus_hirsutus|Arthir18737;Artocaprus_hirsutus|Arthir18736
cluster20489	2	O22870	GO:0003755; F:peptidyl-prolyl cis-trans isomerase activity; IEA:UniProtKB-KW	Artocaprus_hirsutus|Arthir31126;Artocaprus_hirsutus|Arthir28527
cluster20490	2	N/A	N/A	Artocaprus_hirsutus|Arthir8113;Artocaprus_hirsutus|Arthir27679
cluster20491	2	N/A	N/A	Artocaprus_hirsutus|Arthir3480;Artocaprus_hirsutus|Arthir24564
cluster20492	2	N/A	N/A	Artocaprus_hirsutus|Arthir3134;Artocaprus_hirsutus|Arthir18559
cluster20493	2	Q3ECP7	GO:0005351; F:carbohydrate:proton symporter activity; IBA:GO_Central	Artocaprus_hirsutus|Arthir11035;Artocaprus_hirsutus|Arthir12051
cluster20494	2	N/A	N/A	Artocaprus_hirsutus|Arthir30844;Artocaprus_hirsutus|Arthir36561
cluster20495	2	N/A	N/A	Artocaprus_hirsutus|Arthir27438;Artocaprus_hirsutus|Arthir21537
cluster20496	2	N/A	N/A	Artocaprus_hirsutus|Arthir7536;Artocaprus_hirsutus|Arthir7923
cluster20497	2	A2A1A0	GO:0009820; P:alkaloid metabolic process; IEA:UniProtKB-KW	Artocaprus_hirsutus|Arthir11119;Artocaprus_hirsutus|Arthir5845
cluster20498	2	N/A	N/A	Artocaprus_hirsutus|Arthir41621;Artocaprus_hirsutus|Arthir41077
cluster20499	2	P51614	GO:0000272; P:polysaccharide catabolic process; IEA:UniProtKB-KW	Artocaprus_hirsutus|Arthir35355;Artocaprus_hirsutus|Arthir5214
cluster20500	2	N/A	N/A	Artocaprus_hirsutus|Arthir34047;Artocaprus_hirsutus|Arthir41500
cluster20501	2	N/A	N/A	Artocaprus_hirsutus|Arthir19026;Artocaprus_hirsutus|Arthir37296
cluster20502	2	N/A	N/A	Artocaprus_hirsutus|Arthir34664;Artocaprus_hirsutus|Arthir41401
cluster20503	2	Q9LIR8	GO:0005634; C:nucleus; IDA:TAIR	Artocaprus_hirsutus|Arthir29636;Artocaprus_hirsutus|Arthir29635
cluster20504	2	N/A	N/A	Artocaprus_hirsutus|Arthir25222;Artocaprus_hirsutus|Arthir23173
cluster20505	2	N/A	N/A	Artocaprus_hirsutus|Arthir3870;Artocaprus_hirsutus|Arthir943
cluster20506	2	Q9FID5	GO:0004674; F:protein serine/threonine kinase activity; IEA:UniProtKB-KW	Artocaprus_hirsutus|Arthir6672;Artocaprus_hirsutus|Arthir16852
cluster20507	2	N/A	N/A	Artocaprus_hirsutus|Arthir13753;Artocaprus_hirsutus|Arthir13748
cluster20508	2	N/A	N/A	Artocaprus_hirsutus|Arthir562;Artocaprus_hirsutus|Arthir44613
cluster20509	2	N/A	N/A	Artocaprus_hirsutus|Arthir43736;Artocaprus_hirsutus|Arthir22387
cluster20510	2	N/A	N/A	Artocaprus_hirsutus|Arthir1632;Artocaprus_hirsutus|Arthir5162
cluster20511	2	N/A	N/A	Artocaprus_hirsutus|Arthir13874;Artocaprus_hirsutus|Arthir33541
cluster20512	2	P04793	GO:0009651; P:response to salt stress; IBA:GO_Central	Artocaprus_hirsutus|Arthir9133;Artocaprus_hirsutus|Arthir4861
cluster20513	2	N/A	N/A	Artocaprus_hirsutus|Arthir11515;Artocaprus_hirsutus|Arthir31410
cluster20514	2	N/A	N/A	Artocaprus_hirsutus|Arthir44104;Artocaprus_hirsutus|Arthir30611
cluster20515	2	N/A	N/A	Artocaprus_hirsutus|Arthir30078;Artocaprus_hirsutus|Arthir44549
cluster20516	2	N/A	N/A	Artocaprus_hirsutus|Arthir17025;Artocaprus_hirsutus|Arthir17026
cluster20517	2	N/A	N/A	Artocaprus_hirsutus|Arthir9710;Artocaprus_hirsutus|Arthir37189
cluster20518	2	Q9SVM3	GO:0005886; C:plasma membrane; IEA:UniProtKB-SubCell	Artocaprus_hirsutus|Arthir26338;Artocaprus_hirsutus|Arthir29581
cluster20519	2	P52581	GO:0016491; F:oxidoreductase activity; IEA:UniProtKB-KW	Artocaprus_hirsutus|Arthir13805;Artocaprus_hirsutus|Arthir43583
cluster20520	2	N/A	N/A	Artocaprus_hirsutus|Arthir33074;Artocaprus_hirsutus|Arthir33072
cluster20521	2	O64778	GO:0048544; P:recognition of pollen; IEA:InterPro	Artocaprus_hirsutus|Arthir29550;Artocaprus_hirsutus|Arthir26603
cluster20522	2	N/A	N/A	Artocaprus_hirsutus|Arthir8891;Artocaprus_hirsutus|Arthir40315
cluster20523	2	N/A	N/A	Artocaprus_hirsutus|Arthir38640;Artocaprus_hirsutus|Arthir9354
cluster20524	2	N/A	N/A	Artocaprus_hirsutus|Arthir40113;Artocaprus_hirsutus|Arthir38543
cluster20525	2	N/A	N/A	Artocaprus_hirsutus|Arthir23955;Artocaprus_hirsutus|Arthir23952
cluster20526	2	N/A	N/A	Artocaprus_hirsutus|Arthir26645;Artocaprus_hirsutus|Arthir45347
cluster20527	2	Q5F410	GO:0003677; F:DNA binding; IEA:UniProtKB-KW	Artocaprus_hirsutus|Arthir22602;Artocaprus_hirsutus|Arthir32997
cluster20528	2	N/A	N/A	Artocaprus_hirsutus|Arthir18121;Artocaprus_hirsutus|Arthir13312
cluster20529	2	Q9LVL9	GO:0080030; F:methyl indole-3-acetate esterase activity; IDA:TAIR	Artocaprus_hirsutus|Arthir25645;Artocaprus_hirsutus|Arthir6455
cluster20530	2	N/A	N/A	Artocaprus_hirsutus|Arthir8832;Artocaprus_hirsutus|Arthir369
cluster20531	2	P10978	GO:0015074; P:DNA integration; IEA:InterPro	Artocaprus_hirsutus|Arthir34919;Artocaprus_hirsutus|Arthir40310
cluster20532	2	O65924	GO:0004674; F:protein serine/threonine kinase activity; IEA:UniProtKB-KW	Artocaprus_hirsutus|Arthir42864;Artocaprus_hirsutus|Arthir36796
cluster20533	2	N/A	N/A	Artocaprus_hirsutus|Arthir46228;Artocaprus_hirsutus|Arthir46229
cluster20534	2	N/A	N/A	Artocaprus_hirsutus|Arthir18664;Artocaprus_hirsutus|Arthir18665
cluster20535	2	N/A	N/A	Artocaprus_hirsutus|Arthir41242;Artocaprus_hirsutus|Arthir22684
cluster20536	2	N/A	N/A	Artocaprus_hirsutus|Arthir32560;Artocaprus_hirsutus|Arthir32559
cluster20537	2	N/A	N/A	Artocaprus_hirsutus|Arthir33497;Artocaprus_hirsutus|Arthir9519
cluster20538	2	N/A	N/A	Artocaprus_hirsutus|Arthir31087;Artocaprus_hirsutus|Arthir31091
cluster20539	2	N/A	N/A	Artocaprus_hirsutus|Arthir36899;Artocaprus_hirsutus|Arthir15587
cluster20540	2	Q9FF86	GO:0010090; P:trichome morphogenesis; IMP:TAIR	Artocaprus_hirsutus|Arthir10163;Artocaprus_hirsutus|Arthir2597
cluster20541	2	N/A	N/A	Artocaprus_hirsutus|Arthir28679;Artocaprus_hirsutus|Arthir1799
cluster20542	2	N/A	N/A	Artocaprus_hirsutus|Arthir10633;Artocaprus_hirsutus|Arthir26616
cluster20543	2	N/A	N/A	Artocaprus_hirsutus|Arthir32291;Artocaprus_hirsutus|Arthir32290
cluster20544	2	P82732	GO:0031640; P:killing of cells of other organism; IEA:UniProtKB-KW	Artocaprus_hirsutus|Arthir15959;Artocaprus_hirsutus|Arthir45060
cluster20545	2	N/A	N/A	Artocaprus_hirsutus|Arthir22352;Artocaprus_hirsutus|Arthir38392
cluster20546	2	N/A	N/A	Artocaprus_hirsutus|Arthir10113;Artocaprus_hirsutus|Arthir18147
cluster20547	2	P41189	GO:0006412; P:translation; IEA:UniProtKB-UniRule	Artocaprus_hirsutus|Arthir39638;Artocaprus_hirsutus|Arthir23493
cluster20548	2	O49879	GO:0005886; C:plasma membrane; IEA:UniProtKB-SubCell	Artocaprus_hirsutus|Arthir8042;Artocaprus_hirsutus|Arthir14653
cluster20549	2	O49726	GO:0005215; F:transporter activity; IEA:InterPro	Artocaprus_hirsutus|Arthir35571;Artocaprus_hirsutus|Arthir35572
cluster20550	2	N/A	N/A	Artocaprus_hirsutus|Arthir36411;Artocaprus_hirsutus|Arthir25108
cluster20551	2	N/A	N/A	Artocaprus_hirsutus|Arthir39379;Artocaprus_hirsutus|Arthir21523
cluster20552	2	Q9CAY1	GO:0009451; P:RNA modification; IBA:GO_Central	Artocaprus_hirsutus|Arthir13479;Artocaprus_hirsutus|Arthir2321
cluster20553	2	O49814	GO:0016117; P:carotenoid biosynthetic process; IEA:UniProtKB-KW	Artocaprus_hirsutus|Arthir29509;Artocaprus_hirsutus|Arthir30705
cluster23744	2	Q9FLW0	GO:0046777; P:protein autophosphorylation; IBA:GO_Central	Artocaprus_hirsutus|Arthir6077;Artocaprus_hirsutus|Arthir44006
cluster23745	2	N/A	N/A	Artocaprus_hirsutus|Arthir3939;Artocaprus_hirsutus|Arthir45528
cluster23746	2	P17859	GO:0005975; P:carbohydrate metabolic process; IEA:UniProtKB-KW	Artocaprus_hirsutus|Arthir26403;Artocaprus_hirsutus|Arthir31017
cluster23747	2	N/A	N/A	Artocaprus_hirsutus|Arthir29685;Artocaprus_hirsutus|Arthir24347
cluster23748	2	N/A	N/A	Artocaprus_hirsutus|Arthir38136;Artocaprus_hirsutus|Arthir40235
cluster23749	2	N/A	N/A	Artocaprus_hirsutus|Arthir24974;Artocaprus_hirsutus|Arthir14857
cluster23750	2	N/A	N/A	Artocaprus_hirsutus|Arthir3037;Artocaprus_hirsutus|Arthir18581
cluster23751	2	N/A	N/A	Artocaprus_hirsutus|Arthir39561;Artocaprus_hirsutus|Arthir14080
cluster23752	2	N/A	N/A	Artocaprus_hirsutus|Arthir7458;Artocaprus_hirsutus|Arthir45274
cluster23753	2	N/A	N/A	Artocaprus_hirsutus|Arthir32963;Artocaprus_hirsutus|Arthir31380
cluster23754	2	O64477	GO:0048544; P:recognition of pollen; IEA:InterPro	Artocaprus_hirsutus|Arthir14597;Artocaprus_hirsutus|Arthir28942
cluster23755	2	Q6RVV4	GO:0015031; P:protein transport; IEA:UniProtKB-KW	Artocaprus_hirsutus|Arthir42619;Artocaprus_hirsutus|Arthir42618
cluster23756	2	N/A	N/A	Artocaprus_hirsutus|Arthir6448;Artocaprus_hirsutus|Arthir2285
cluster23757	2	Q9FVQ0	GO:0009851; P:auxin biosynthetic process; IEA:UniProtKB-UniPathway	Artocaprus_hirsutus|Arthir5201;Artocaprus_hirsutus|Arthir39602
